***All slide window sequence number prediction probability***
Number	annotation	Promoter	Promoter probability
320	CRE18453 upstream (2000bp),site:319-619	No	0.0408762
321	CRE18453 upstream (2000bp),site:320-620	No	0.0122945
322	CRE18453 upstream (2000bp),site:321-621	No	0.181907
323	CRE18453 upstream (2000bp),site:322-622	No	0.304955
324	CRE18453 upstream (2000bp),site:323-623	No	0.419924
325	CRE18453 upstream (2000bp),site:324-624	No	0.259194
326	CRE18453 upstream (2000bp),site:325-625	No	0.234122
327	CRE18453 upstream (2000bp),site:326-626	No	0.146459
328	CRE18453 upstream (2000bp),site:327-627	No	0.0271977
329	CRE18453 upstream (2000bp),site:328-628	No	0.0381114
330	CRE18453 upstream (2000bp),site:329-629	No	0.446336
331	CRE18453 upstream (2000bp),site:330-630	No	0.0416617
332	CRE18453 upstream (2000bp),site:331-631	Yes	0.5
333	CRE18453 upstream (2000bp),site:332-632	No	0.367212
334	CRE18453 upstream (2000bp),site:333-633	No	0.352406
335	CRE18453 upstream (2000bp),site:334-634	No	0.104843
336	CRE18453 upstream (2000bp),site:335-635	No	0.0170331
337	CRE18453 upstream (2000bp),site:336-636	No	0.223376
338	CRE18453 upstream (2000bp),site:337-637	No	0.0336874
339	CRE18453 upstream (2000bp),site:338-638	No	0.0356421
340	CRE18453 upstream (2000bp),site:339-639	No	0.121779
341	CRE18453 upstream (2000bp),site:340-640	No	0.0318241
342	CRE18453 upstream (2000bp),site:341-641	No	0.0113838
343	CRE18453 upstream (2000bp),site:342-642	No	0.051301
344	CRE18453 upstream (2000bp),site:343-643	No	0.0367557
345	CRE18453 upstream (2000bp),site:344-644	No	0.198765
346	CRE18453 upstream (2000bp),site:345-645	No	0.175351
347	CRE18453 upstream (2000bp),site:346-646	No	0.214964
348	CRE18453 upstream (2000bp),site:347-647	No	0.0711285
349	CRE18453 upstream (2000bp),site:348-648	No	0.249407
350	CRE18453 upstream (2000bp),site:349-649	No	0.377773
351	CRE18453 upstream (2000bp),site:350-650	No	0.179378
352	CRE18453 upstream (2000bp),site:351-651	No	0.119122
353	CRE18453 upstream (2000bp),site:352-652	No	0.250854
354	CRE18453 upstream (2000bp),site:353-653	No	0.0736737
355	CRE18453 upstream (2000bp),site:354-654	No	0.0225415
356	CRE18453 upstream (2000bp),site:355-655	No	0.0107927
357	CRE18453 upstream (2000bp),site:356-656	No	0.0257365
358	CRE18453 upstream (2000bp),site:357-657	No	9.89125e-006
359	CRE18453 upstream (2000bp),site:358-658	No	0.117199
360	CRE18453 upstream (2000bp),site:359-659	No	0.0443986
361	CRE18453 upstream (2000bp),site:360-660	No	0.158869
362	CRE18453 upstream (2000bp),site:361-661	No	0.0348175
363	CRE18453 upstream (2000bp),site:362-662	No	0.102767
364	CRE18453 upstream (2000bp),site:363-663	No	0.075885
365	CRE18453 upstream (2000bp),site:364-664	No	0.0112859
366	CRE18453 upstream (2000bp),site:365-665	No	0.101522
367	CRE18453 upstream (2000bp),site:366-666	No	0.292991
368	CRE18453 upstream (2000bp),site:367-667	No	0.293024
369	CRE18453 upstream (2000bp),site:368-668	No	0.0917605
370	CRE18453 upstream (2000bp),site:369-669	No	0.147157
371	CRE18453 upstream (2000bp),site:370-670	No	0.0165657
372	CRE18453 upstream (2000bp),site:371-671	No	0.00921833
373	CRE18453 upstream (2000bp),site:372-672	No	0.0717071
374	CRE18453 upstream (2000bp),site:373-673	No	0.0108518
375	CRE18453 upstream (2000bp),site:374-674	No	0.256062
376	CRE18453 upstream (2000bp),site:375-675	Yes	0.5
377	CRE18453 upstream (2000bp),site:376-676	No	0.0649604
378	CRE18453 upstream (2000bp),site:377-677	No	0.0321791
379	CRE18453 upstream (2000bp),site:378-678	No	0.158158
380	CRE18453 upstream (2000bp),site:379-679	No	0.221381
381	CRE18453 upstream (2000bp),site:380-680	No	0.0324162
382	CRE18453 upstream (2000bp),site:381-681	No	0.0540944
383	CRE18453 upstream (2000bp),site:382-682	No	0.0204488
384	CRE18453 upstream (2000bp),site:383-683	No	0.0305343
385	CRE18453 upstream (2000bp),site:384-684	No	0.0501788
386	CRE18453 upstream (2000bp),site:385-685	No	0.121573
387	CRE18453 upstream (2000bp),site:386-686	No	0.0247294
388	CRE18453 upstream (2000bp),site:387-687	No	0.0251028
389	CRE18453 upstream (2000bp),site:388-688	No	0.0937835
390	CRE18453 upstream (2000bp),site:389-689	No	0.374954
391	CRE18453 upstream (2000bp),site:390-690	No	0.0163874
392	CRE18453 upstream (2000bp),site:391-691	No	0.00791698
393	CRE18453 upstream (2000bp),site:392-692	No	0.124167
394	CRE18453 upstream (2000bp),site:393-693	No	0.0389391
395	CRE18453 upstream (2000bp),site:394-694	No	0.0512772
396	CRE18453 upstream (2000bp),site:395-695	No	0.0353237
397	CRE18453 upstream (2000bp),site:396-696	No	0.013903
398	CRE18453 upstream (2000bp),site:397-697	No	0.209053
399	CRE18453 upstream (2000bp),site:398-698	No	0.19161
400	CRE18453 upstream (2000bp),site:399-699	No	0.156986
401	CRE18453 upstream (2000bp),site:400-700	No	0.0697796
402	CRE18453 upstream (2000bp),site:401-701	No	0.030941
403	CRE18453 upstream (2000bp),site:402-702	No	0.437256
404	CRE18453 upstream (2000bp),site:403-703	No	0.249904
405	CRE18453 upstream (2000bp),site:404-704	No	0.0414653
406	CRE18453 upstream (2000bp),site:405-705	No	0.0123816
407	CRE18453 upstream (2000bp),site:406-706	No	0.353718
408	CRE18453 upstream (2000bp),site:407-707	Yes	0.563585
409	CRE18453 upstream (2000bp),site:408-708	No	0.0649881
410	CRE18453 upstream (2000bp),site:409-709	No	0.412879
411	CRE18453 upstream (2000bp),site:410-710	Yes	0.838863
412	CRE18453 upstream (2000bp),site:411-711	No	0.296639
413	CRE18453 upstream (2000bp),site:412-712	No	0.41603
414	CRE18453 upstream (2000bp),site:413-713	No	0.329469
415	CRE18453 upstream (2000bp),site:414-714	No	0.0821574
416	CRE18453 upstream (2000bp),site:415-715	No	0.0887478
417	CRE18453 upstream (2000bp),site:416-716	No	0.250321
418	CRE18453 upstream (2000bp),site:417-717	No	0.168957
419	CRE18453 upstream (2000bp),site:418-718	No	0.18373
420	CRE18453 upstream (2000bp),site:419-719	No	0.27859
421	CRE18453 upstream (2000bp),site:420-720	No	0.163853
422	CRE18453 upstream (2000bp),site:421-721	No	0.00783215
423	CRE18453 upstream (2000bp),site:422-722	No	0.0651492
424	CRE18453 upstream (2000bp),site:423-723	No	0.160373
425	CRE18453 upstream (2000bp),site:424-724	No	0.0569732
426	CRE18453 upstream (2000bp),site:425-725	No	0.117378
427	CRE18453 upstream (2000bp),site:426-726	No	0.0164667
428	CRE18453 upstream (2000bp),site:427-727	No	0.0433691
429	CRE18453 upstream (2000bp),site:428-728	No	0.257059
430	CRE18453 upstream (2000bp),site:429-729	No	0.0568935
431	CRE18453 upstream (2000bp),site:430-730	No	0.228679
432	CRE18453 upstream (2000bp),site:431-731	No	0.0875344
433	CRE18453 upstream (2000bp),site:432-732	No	0.0792163
434	CRE18453 upstream (2000bp),site:433-733	No	0.192037
435	CRE18453 upstream (2000bp),site:434-734	Yes	0.814629
436	CRE18453 upstream (2000bp),site:435-735	No	0.373659
437	CRE18453 upstream (2000bp),site:436-736	No	0.0847033
438	CRE18453 upstream (2000bp),site:437-737	No	0.0772816
439	CRE18453 upstream (2000bp),site:438-738	No	0.0376384
440	CRE18453 upstream (2000bp),site:439-739	No	0.0386294
441	CRE18453 upstream (2000bp),site:440-740	No	0.065108
442	CRE18453 upstream (2000bp),site:441-741	No	0.28827
443	CRE18453 upstream (2000bp),site:442-742	No	0.3583
444	CRE18453 upstream (2000bp),site:443-743	No	0.0654742
445	CRE18453 upstream (2000bp),site:444-744	No	0.241531
446	CRE18453 upstream (2000bp),site:445-745	Yes	0.819059
447	CRE18453 upstream (2000bp),site:446-746	Yes	0.935956
448	CRE18453 upstream (2000bp),site:447-747	Yes	0.964436
449	CRE18453 upstream (2000bp),site:448-748	Yes	0.653599
450	CRE18453 upstream (2000bp),site:449-749	No	0.0149275
451	CRE18453 upstream (2000bp),site:450-750	No	0.101475
452	CRE18453 upstream (2000bp),site:451-751	No	0.110244
453	CRE18453 upstream (2000bp),site:452-752	No	0.42937
